GP_name,quali_pos,constructor,driver,position,driver_confidence,constructor_relaiblity,active_driver,active_constructor,dob
Suzuka Circuit,8,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Korean International Circuit,4,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Korean International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Autódromo José Carlos Pace,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Autódromo José Carlos Pace,4,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Yas Marina Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Yas Marina Circuit,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Albert Park Grand Prix Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Albert Park Grand Prix Circuit,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Sepang International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Sepang International Circuit,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Shanghai International Circuit,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Shanghai International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Istanbul Park,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Istanbul Park,4,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Barcelona-Catalunya,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Circuit de Barcelona-Catalunya,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Monaco,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Circuit de Monaco,9,McLaren,Lewis Hamilton,7,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit Gilles Villeneuve,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Circuit Gilles Villeneuve,5,McLaren,Lewis Hamilton,5,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Valencia Street Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Valencia Street Circuit,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Silverstone Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Silverstone Circuit,10,McLaren,Lewis Hamilton,10,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Nürburgring,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Nürburgring,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Hungaroring,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Hungaroring,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Spa-Francorchamps,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Circuit de Spa-Francorchamps,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Autodromo Nazionale di Monza,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Autodromo Nazionale di Monza,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Marina Bay Street Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Marina Bay Street Circuit,4,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Suzuka Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Suzuka Circuit,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Korean International Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Korean International Circuit,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Buddh International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Buddh International Circuit,5,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Yas Marina Circuit,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Yas Marina Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Autódromo José Carlos Pace,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Autódromo José Carlos Pace,4,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Albert Park Grand Prix Circuit,6,Red Bull,Sebastian Vettel,6,-3.5,-16.5,1,1,1987-07-03
Albert Park Grand Prix Circuit,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Sepang International Circuit,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Sepang International Circuit,5,Red Bull,Sebastian Vettel,6,-3.5,-16.5,1,1,1987-07-03
Shanghai International Circuit,7,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Shanghai International Circuit,11,Red Bull,Sebastian Vettel,11,-3.5,-16.5,1,1,1987-07-03
Bahrain International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Bahrain International Circuit,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Barcelona-Catalunya,7,Red Bull,Sebastian Vettel,8,-3.5,-16.5,1,1,1987-07-03
Circuit de Barcelona-Catalunya,24,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Monaco,9,Red Bull,Sebastian Vettel,10,-3.5,-16.5,1,1,1987-07-03
Circuit de Monaco,3,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit Gilles Villeneuve,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit Gilles Villeneuve,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Valencia Street Circuit,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Valencia Street Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Silverstone Circuit,4,Red Bull,Sebastian Vettel,4,-3.5,-16.5,1,1,1987-07-03
Silverstone Circuit,8,McLaren,Lewis Hamilton,8,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Hockenheimring,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Hockenheimring,7,McLaren,Lewis Hamilton,8,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Hungaroring,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Hungaroring,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Circuit de Spa-Francorchamps,10,Red Bull,Sebastian Vettel,11,-3.5,-16.5,1,1,1987-07-03
Circuit de Spa-Francorchamps,7,McLaren,Lewis Hamilton,8,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Autodromo Nazionale di Monza,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Autodromo Nazionale di Monza,5,Red Bull,Sebastian Vettel,6,-3.5,-16.5,1,1,1987-07-03
Marina Bay Street Circuit,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Marina Bay Street Circuit,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Suzuka Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Suzuka Circuit,9,McLaren,Lewis Hamilton,9,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Korean International Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Korean International Circuit,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Buddh International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Buddh International Circuit,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Yas Marina Circuit,24,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Yas Marina Circuit,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit of the Americas,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit of the Americas,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Autódromo José Carlos Pace,4,Red Bull,Sebastian Vettel,4,-3.5,-16.5,1,1,1987-07-03
Autódromo José Carlos Pace,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Albert Park Grand Prix Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Albert Park Grand Prix Circuit,3,Mercedes,Lewis Hamilton,3,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Albert Park Grand Prix Circuit,15,McLaren,Sergio Pérez,15,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Albert Park Grand Prix Circuit,16,Williams,Valtteri Bottas,16,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Sepang International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Sepang International Circuit,4,Mercedes,Lewis Hamilton,4,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Sepang International Circuit,9,McLaren,Sergio Pérez,10,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Sepang International Circuit,18,Williams,Valtteri Bottas,18,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Shanghai International Circuit,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Shanghai International Circuit,9,Red Bull,Sebastian Vettel,9,-3.5,-16.5,1,1,1987-07-03
Shanghai International Circuit,12,McLaren,Sergio Pérez,12,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Shanghai International Circuit,16,Williams,Valtteri Bottas,17,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Bahrain International Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Bahrain International Circuit,9,Mercedes,Lewis Hamilton,4,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Bahrain International Circuit,12,McLaren,Sergio Pérez,12,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Bahrain International Circuit,15,Williams,Valtteri Bottas,15,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit de Barcelona-Catalunya,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Circuit de Barcelona-Catalunya,8,McLaren,Sergio Pérez,9,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Circuit de Barcelona-Catalunya,2,Mercedes,Lewis Hamilton,2,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Circuit de Barcelona-Catalunya,16,Williams,Valtteri Bottas,17,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit de Monaco,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Circuit de Monaco,2,Mercedes,Lewis Hamilton,2,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Circuit de Monaco,14,Williams,Valtteri Bottas,14,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit de Monaco,7,McLaren,Sergio Pérez,7,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Circuit Gilles Villeneuve,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Circuit Gilles Villeneuve,2,Mercedes,Lewis Hamilton,2,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Circuit Gilles Villeneuve,12,McLaren,Sergio Pérez,12,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Circuit Gilles Villeneuve,3,Williams,Valtteri Bottas,3,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Silverstone Circuit,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Silverstone Circuit,16,Williams,Valtteri Bottas,17,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Silverstone Circuit,13,McLaren,Sergio Pérez,14,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Silverstone Circuit,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Nürburgring,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Nürburgring,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Nürburgring,13,McLaren,Sergio Pérez,13,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Nürburgring,17,Williams,Valtteri Bottas,17,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Hungaroring,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Hungaroring,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Hungaroring,9,McLaren,Sergio Pérez,9,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Hungaroring,16,Williams,Valtteri Bottas,16,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit de Spa-Francorchamps,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Circuit de Spa-Francorchamps,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Circuit de Spa-Francorchamps,13,McLaren,Sergio Pérez,13,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Circuit de Spa-Francorchamps,20,Williams,Valtteri Bottas,20,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Autodromo Nazionale di Monza,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Autodromo Nazionale di Monza,12,Mercedes,Lewis Hamilton,12,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Autodromo Nazionale di Monza,8,McLaren,Sergio Pérez,8,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Autodromo Nazionale di Monza,18,Williams,Valtteri Bottas,18,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Marina Bay Street Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Marina Bay Street Circuit,5,Mercedes,Lewis Hamilton,5,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Marina Bay Street Circuit,14,McLaren,Sergio Pérez,14,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Marina Bay Street Circuit,16,Williams,Valtteri Bottas,16,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Korean International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Korean International Circuit,2,Mercedes,Lewis Hamilton,2,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Korean International Circuit,10,McLaren,Sergio Pérez,11,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Korean International Circuit,17,Williams,Valtteri Bottas,17,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Suzuka Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Suzuka Circuit,11,McLaren,Sergio Pérez,11,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Suzuka Circuit,13,Williams,Valtteri Bottas,13,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Suzuka Circuit,3,Mercedes,Lewis Hamilton,3,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Buddh International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Buddh International Circuit,9,McLaren,Sergio Pérez,9,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Buddh International Circuit,3,Mercedes,Lewis Hamilton,3,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Buddh International Circuit,15,Williams,Valtteri Bottas,15,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Yas Marina Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Yas Marina Circuit,4,Mercedes,Lewis Hamilton,4,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Yas Marina Circuit,8,McLaren,Sergio Pérez,9,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Yas Marina Circuit,15,Williams,Valtteri Bottas,16,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit of the Americas,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Circuit of the Americas,5,Mercedes,Lewis Hamilton,5,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Circuit of the Americas,7,McLaren,Sergio Pérez,7,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Circuit of the Americas,9,Williams,Valtteri Bottas,9,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Autódromo José Carlos Pace,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Autódromo José Carlos Pace,19,McLaren,Sergio Pérez,14,-5.666666666666667,-39.852130325814535,1,1,1990-01-26
Autódromo José Carlos Pace,5,Mercedes,Lewis Hamilton,5,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Autódromo José Carlos Pace,13,Williams,Valtteri Bottas,13,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Albert Park Grand Prix Circuit,4,McLaren,Kevin Magnussen,4,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Albert Park Grand Prix Circuit,15,Williams,Valtteri Bottas,10,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Albert Park Grand Prix Circuit,11,Ferrari,Kimi Räikkönen,12,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Albert Park Grand Prix Circuit,12,Red Bull,Sebastian Vettel,13,-3.5,-16.5,1,1,1987-07-03
Albert Park Grand Prix Circuit,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Albert Park Grand Prix Circuit,2,Red Bull,Daniel Ricciardo,2,-4.780346820809249,-16.5,1,1,1989-07-01
Sepang International Circuit,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Sepang International Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Sepang International Circuit,18,Williams,Valtteri Bottas,15,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Sepang International Circuit,8,McLaren,Kevin Magnussen,8,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Sepang International Circuit,6,Ferrari,Kimi Räikkönen,6,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Sepang International Circuit,5,Red Bull,Daniel Ricciardo,5,-4.780346820809249,-16.5,1,1,1989-07-01
Bahrain International Circuit,2,Mercedes,Lewis Hamilton,2,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Bahrain International Circuit,13,Red Bull,Daniel Ricciardo,3,-4.780346820809249,-16.5,1,1,1989-07-01
Bahrain International Circuit,10,Red Bull,Sebastian Vettel,11,-3.5,-16.5,1,1,1987-07-03
Bahrain International Circuit,3,Williams,Valtteri Bottas,4,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Bahrain International Circuit,5,Ferrari,Kimi Räikkönen,6,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Bahrain International Circuit,8,McLaren,Kevin Magnussen,9,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Shanghai International Circuit,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Shanghai International Circuit,2,Red Bull,Daniel Ricciardo,2,-4.780346820809249,-16.5,1,1,1989-07-01
Shanghai International Circuit,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Shanghai International Circuit,7,Williams,Valtteri Bottas,7,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Shanghai International Circuit,11,Ferrari,Kimi Räikkönen,11,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Shanghai International Circuit,15,McLaren,Kevin Magnussen,15,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Circuit de Barcelona-Catalunya,1,Mercedes,Lewis Hamilton,1,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Circuit de Barcelona-Catalunya,3,Red Bull,Daniel Ricciardo,3,-4.780346820809249,-16.5,1,1,1989-07-01
Circuit de Barcelona-Catalunya,15,Red Bull,Sebastian Vettel,10,-3.5,-16.5,1,1,1987-07-03
Circuit de Barcelona-Catalunya,4,Williams,Valtteri Bottas,4,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit de Barcelona-Catalunya,6,Ferrari,Kimi Räikkönen,6,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Circuit de Barcelona-Catalunya,14,McLaren,Kevin Magnussen,15,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Circuit de Monaco,2,Mercedes,Lewis Hamilton,2,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Circuit de Monaco,3,Red Bull,Daniel Ricciardo,3,-4.780346820809249,-16.5,1,1,1989-07-01
Circuit de Monaco,8,McLaren,Kevin Magnussen,8,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Circuit de Monaco,6,Ferrari,Kimi Räikkönen,6,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Circuit de Monaco,13,Williams,Valtteri Bottas,13,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit de Monaco,4,Red Bull,Sebastian Vettel,4,-3.5,-16.5,1,1,1987-07-03
Circuit Gilles Villeneuve,6,Red Bull,Daniel Ricciardo,6,-4.780346820809249,-16.5,1,1,1989-07-01
Circuit Gilles Villeneuve,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Circuit Gilles Villeneuve,4,Williams,Valtteri Bottas,4,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Circuit Gilles Villeneuve,12,McLaren,Kevin Magnussen,12,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Circuit Gilles Villeneuve,10,Ferrari,Kimi Räikkönen,10,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Circuit Gilles Villeneuve,2,Mercedes,Lewis Hamilton,2,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Red Bull Ring,9,Mercedes,Lewis Hamilton,9,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Red Bull Ring,2,Williams,Valtteri Bottas,2,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
Red Bull Ring,6,McLaren,Kevin Magnussen,6,-3.761904761904762,-39.852130325814535,1,1,1992-10-05
Red Bull Ring,5,Red Bull,Daniel Ricciardo,5,-4.780346820809249,-16.5,1,1,1989-07-01
Red Bull Ring,8,Ferrari,Kimi Räikkönen,8,-4.590062111801243,-9.199004975124378,1,1,1979-10-17
Red Bull Ring,12,Red Bull,Sebastian Vettel,13,-3.5,-16.5,1,1,1987-07-03
Silverstone Circuit,6,Mercedes,Lewis Hamilton,6,-4.472636815920398,-11.219451371571072,1,1,1985-01-07
Silverstone Circuit,14,Williams,Valtteri Bottas,17,-2.4965034965034967,-49.37406483790524,1,1,1989-08-28
